,latitude,longitude,depth,place
1392181,35.91300000000001,-1.987,4.5,northern Algeria
1394172,36.661,1.84,0.0,northern Algeria
1394975,35.843,0.153,10.0,northern Algeria
1397506,35.802,-1.67,0.0,northern Algeria
1403789,36.63800000000001,1.611,10.0,northern Algeria
1405257,35.613,-0.484,0.0,northern Algeria
1405266,35.543,-1.16,0.0,northern Algeria
1410418,35.22400000000001,-0.928,10.0,northern Algeria
1410419,35.172,-0.861,10.0,northern Algeria
1411999,36.178,5.178,10.0,northern Algeria
1412375,35.588,-1.69,0.0,northern Algeria
1416468,35.118,-0.42,10.0,northern Algeria
1419324,36.629,4.78,0.0,northern Algeria
1438284,35.543,-1.08,10.0,northern Algeria
1445335,35.921,3.83,33.0,northern Algeria
1450739,36.132,2.911,10.0,northern Algeria
1454760,36.344,2.898,35.7,northern Algeria
1456101,36.815,2.214,6.5,northern Algeria
1461844,36.431,1.394,10.0,northern Algeria
1462058,36.154,3.024,10.0,northern Algeria
1467143,35.881,4.177,10.0,northern Algeria
1477222,35.591,-0.173,0.0,northern Algeria
1479843,35.87,4.1930000000000005,10.0,northern Algeria
1480101,36.85,0.923,10.0,northern Algeria
1482322,35.921,-1.083,0.0,northern Algeria
1484117,36.608,6.535,10.0,northern Algeria
1484130,36.744,6.324,10.0,northern Algeria
1484261,36.056,3.997,10.0,northern Algeria
1484837,36.667,5.0,10.0,northern Algeria
1486729,35.971,-1.0659999999999998,0.0,northern Algeria
1486875,36.489,4.857,10.0,northern Algeria
1489067,36.715,1.547,0.0,northern Algeria
1489293,35.734,-1.3130000000000002,24.4,northern Algeria
1490112,36.964,3.634,12.0,northern Algeria
1490114,36.97,3.813,10.0,northern Algeria
1490116,36.862,4.01,10.0,northern Algeria
1490118,36.999,3.676,10.0,northern Algeria
1490120,36.938,3.793,10.0,northern Algeria
1490121,36.894,3.321,10.0,northern Algeria
1490123,36.981,3.929,10.0,northern Algeria
1490124,36.953,3.894,10.0,northern Algeria
1490126,36.906,3.699,10.0,northern Algeria
1490128,36.942,3.604,10.0,northern Algeria
1490129,36.906,3.86,10.0,northern Algeria
1490133,36.635,3.4610000000000003,10.0,northern Algeria
1490135,36.84,3.775,10.0,northern Algeria
1490139,36.893,3.525,10.0,northern Algeria
1490141,36.819,3.621,10.0,northern Algeria
1490142,36.867,3.451,10.0,northern Algeria
1490143,36.908,3.805,10.0,northern Algeria
1490144,36.926,3.633,10.0,northern Algeria
1490147,36.84,4.055,10.0,northern Algeria
1490149,36.451,3.934,10.0,northern Algeria
1490154,36.987,3.909,10.0,northern Algeria
1490156,36.923,3.583,10.0,northern Algeria
1490158,36.907,3.657,10.0,northern Algeria
1490161,36.749,3.593,10.0,northern Algeria
1490163,36.526,4.069,10.0,northern Algeria
1490165,36.817,3.759,10.0,northern Algeria
1490166,36.743,3.873,10.0,northern Algeria
1490168,36.616,3.613,10.0,northern Algeria
1490172,36.74800000000001,4.235,10.0,northern Algeria
1490174,36.727,4.09,10.0,northern Algeria
1490175,36.985,3.644,10.0,northern Algeria
1490176,36.542,4.038,10.0,northern Algeria
1490177,36.827,3.614,10.0,northern Algeria
1490184,36.884,3.964,10.0,northern Algeria
1490187,36.898,3.843,10.0,northern Algeria
1490188,36.622,4.1110000000000015,10.0,northern Algeria
1490190,36.847,3.838,10.0,northern Algeria
1490193,36.801,3.814,10.0,northern Algeria
1490194,36.79,3.475,10.0,northern Algeria
1490198,36.821,3.537,10.0,northern Algeria
1490200,36.945,3.708,10.0,northern Algeria
1490201,36.971,3.3680000000000003,10.0,northern Algeria
1490204,36.953,3.926,10.0,northern Algeria
1490205,36.798,3.495,10.0,northern Algeria
1490216,36.926,3.818,10.0,northern Algeria
1490219,36.769,3.551,10.0,northern Algeria
1490220,36.811,3.702,10.0,northern Algeria
1490229,36.851,3.654,10.0,northern Algeria
1490231,36.866,3.829,10.0,northern Algeria
1490234,36.94300000000001,4.081,10.0,northern Algeria
1490235,36.952,3.66,10.0,northern Algeria
1490237,36.99800000000001,3.667,10.0,northern Algeria
1490238,36.964,3.818,10.0,northern Algeria
1490240,36.925,3.499,10.0,northern Algeria
1490245,36.959,3.758,10.0,northern Algeria
1490248,36.815,3.455,10.0,northern Algeria
1490253,36.728,3.579,10.0,northern Algeria
1490254,36.742,3.889,10.0,northern Algeria
1490256,36.88800000000001,3.76,10.0,northern Algeria
1490260,36.897,3.774,10.0,northern Algeria
1490261,36.729,3.774,10.0,northern Algeria
1490264,36.878,3.731,10.0,northern Algeria
1490265,36.846,3.668,10.0,northern Algeria
1490266,36.892,3.852,10.0,northern Algeria
1490267,36.746,3.457,10.0,northern Algeria
1490268,36.913,4.004,10.0,northern Algeria
1490273,36.794,3.56,10.0,northern Algeria
1490276,36.756,4.046,10.0,northern Algeria
1490277,36.87,3.549,10.0,northern Algeria
1490279,36.861,3.4610000000000003,10.0,northern Algeria
1490280,36.879,3.628,10.0,northern Algeria
1490282,36.94,3.524,10.0,northern Algeria
1490283,36.87300000000001,3.881,10.0,northern Algeria
1490286,36.76300000000001,3.444,10.0,northern Algeria
1490289,36.649,3.71,10.0,northern Algeria
1490292,36.826,3.732,10.0,northern Algeria
1490293,36.828,3.618,10.0,northern Algeria
1490294,36.907,3.743,10.0,northern Algeria
1490298,36.776,3.452,0.0,northern Algeria
1490301,36.949,3.872,10.0,northern Algeria
1490316,36.989,3.687,10.0,northern Algeria
1490319,36.921,4.114,10.0,northern Algeria
1490327,36.79,3.802,10.0,northern Algeria
1490329,36.752,3.669,10.0,northern Algeria
1490332,36.878,3.981,10.0,northern Algeria
1490342,36.914,3.717,10.0,northern Algeria
1490347,36.978,4.058,10.0,northern Algeria
1490351,36.742,3.848,10.0,northern Algeria
1490357,36.746,4.112,10.0,northern Algeria
1490362,36.961,3.744,10.0,northern Algeria
1490372,36.824,4.051,10.0,northern Algeria
1490375,36.921,3.78,10.0,northern Algeria
1490376,36.925,4.137,10.0,northern Algeria
1490387,36.909,3.931,10.0,northern Algeria
1490391,36.953,4.118,10.0,northern Algeria
1490393,36.968,3.787,10.0,northern Algeria
1490402,36.902,4.026,10.0,northern Algeria
1490403,36.911,3.835,10.0,northern Algeria
1490406,36.932,3.935,10.0,northern Algeria
1490410,36.877,3.68,10.0,northern Algeria
1490418,36.984,3.955,10.0,northern Algeria
1490431,36.892,3.83,10.0,northern Algeria
1490433,36.903,3.718,10.0,northern Algeria
1490444,36.987,3.762,10.0,northern Algeria
1490470,36.905,3.752,10.0,northern Algeria
1490475,36.965,3.999,10.0,northern Algeria
1490493,36.828,3.322,10.0,northern Algeria
1490495,36.86,4.002,10.0,northern Algeria
1490538,36.849,3.646,10.0,northern Algeria
1490546,36.91,3.796,10.0,northern Algeria
1490549,36.941,3.746,10.0,northern Algeria
1490563,36.937,4.0939999999999985,10.0,northern Algeria
1490568,36.927,3.858,10.0,northern Algeria
1490570,36.866,3.924,10.0,northern Algeria
1490576,36.906,3.965,10.0,northern Algeria
1490585,36.862,3.954,10.0,northern Algeria
1490595,36.881,3.899,10.0,northern Algeria
1490604,36.841,3.802,10.0,northern Algeria
1490607,36.962,4.135,10.0,northern Algeria
1490616,36.729,3.613,10.0,northern Algeria
1490620,36.86,3.822,10.0,northern Algeria
