id,time,latitude,longitude,depth,place,place_exact,exact_place_ar,exact_place_fr
288,1995-10-27T18:09:47.890Z,35.493,1.527,10.0,northern Algeria,Tissemsilt ⵜⵉⵙⴻⵎⵙⵉⵍⵜ تسمسيلت, تسمسيلت,Tissemsilt 
289,1995-11-03T23:28:15.320Z,35.688,-0.438,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
290,1995-11-15T04:19:41.070Z,36.534,1.5830000000000002,10.0,northern Algeria,Chlef ⵛⵛⵍⴻⴼ الشلف, الشلف,Chlef 
291,1995-11-21T00:25:08.880Z,35.32,-0.738,10.0,northern Algeria,Sidi Bel Abbès ⵙⵉⴷⵉ ⴱⴻⵍ ⵄⴻⴱⴱⴰⵙ سيدي بلعباس, سيدي بلعباس,Sidi Bel Abbès 
292,1996-02-23T16:47:12.090Z,36.508,4.414,10.0,northern Algeria,Tizi Ouzou ⵝⵉⵣⵉ ⵡⴻⵣⵣⵓ تيزي وزو, تيزي وزو,Tizi Ouzou 
293,1996-04-12T03:42:46.850Z,35.452,-0.209,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
294,1996-04-12T10:22:10.410Z,35.454,0.17600000000000002,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
295,1996-04-18T21:58:29.340Z,36.224,4.666,10.0,northern Algeria,Bordj Bou Arreridj ⴱⵓⵔⴵ ⴱⵓ ⵄⵔⵉⵔⵉⴵ برج بوعريريج, برج بوعريريج,Bordj Bou Arreridj 
296,1996-04-21T17:01:45.850Z,35.363,-0.32299999999999995,10.0,northern Algeria,Sidi Bel Abbès ⵙⵉⴷⵉ ⴱⴻⵍ ⵄⴻⴱⴱⴰⵙ سيدي بلعباس, سيدي بلعباس,Sidi Bel Abbès 
297,1996-04-23T04:32:00.910Z,36.932,2.31,33.0,northern Algeria,algeria,,algeria
298,1996-04-29T20:03:23.370Z,36.313,2.943,33.0,northern Algeria,Médéa ⵎⴷⵉⵢⵢⴰ المدية, المدية,Médéa 
299,1996-05-20T05:37:22.890Z,35.959,5.596,33.0,northern Algeria,Sétif ⵙⵟⵉⴼ سطيف‎,,Sétif 
300,1996-07-09T12:36:03.540Z,36.328,1.811,10.0,northern Algeria,Aïn Defla ⵄⵉⵏ ⴷⴻⴼⵍⴰ عين الدفلى, عين الدفلى,Aïn Defla 
301,1996-09-04T04:14:03.210Z,36.984,2.8760000000000003,10.0,northern Algeria,algeria,,algeria
302,1996-11-02T13:21:22.570Z,36.454,1.679,10.0,northern Algeria,Tipaza ⵜⵉⵒⴰⵣⴰ تيبازة, تيبازة,Tipaza 
303,1997-01-19T07:08:24.600Z,36.168,7.411,10.0,northern Algeria,Guelma ⴳⴰⵍⵎⴰ قالمة, قالمة,Guelma 
304,1997-02-06T12:55:17.180Z,36.48,1.592,10.0,northern Algeria,Chlef ⵛⵛⵍⴻⴼ الشلف, الشلف,Chlef 
305,1997-02-09T07:44:21.460Z,35.5,-0.865,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
306,1997-04-22T10:55:14.480Z,36.613,5.332999999999998,10.0,northern Algeria,Béjaïa ⴲⴳⴰⵢⴻⵝ بجاية, بجاية,Béjaïa 
